MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 19:55:14,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,27,0,5.5,16.0,,0 days 01:25:30.000000000,1.0,0.2666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 19:58:51,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,28,0,,217.0,,0 days 01:29:07.000000000,1.0,3.616666666666666,0.0,0.0,,0,Free_feed
2023-09-14 19:59:10,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,29,0,10.77,19.0,,0 days 01:29:26.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 19:59:18,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,30,0,2.15,8.0,,0 days 01:29:34.000000000,1.0,0.1333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 19:59:43,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,31,0,12.99,25.0,,0 days 01:29:59.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 20:00:04,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,32,0,10.51,21.0,,0 days 01:30:20.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 20:00:14,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,33,0,3.03,10.0,,0 days 01:30:30.000000000,1.0,0.1666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:00:30,1.16.3,Free_feed,4,3.91,2.0,0,Pellet,Left,0,2,34,0,1.45,16.0,,0 days 01:30:46.000000000,1.0,0.2666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:00:42,1.16.3,Free_feed,4,3.91,1.0,0,Pellet,Left,0,2,35,0,1.32,12.0,,0 days 01:30:58.000000000,1.0,0.2,0.0,0.0,,0,Free_feed
2023-09-14 20:00:59,1.16.3,Free_feed,4,3.92,1.0,0,Pellet,Left,0,2,36,0,4.43,17.0,,0 days 01:31:15.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
