MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Random_Timeout_Duration,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 21:10:45,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,25,0,11.56,23.0,,,0 days 02:51:01.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 21:11:08,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,3,26,0,11.2,23.0,,,0 days 02:51:24.000000000,1.0,0.3833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 21:11:33,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,27,0,13.71,25.0,,,0 days 02:51:49.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 21:11:58,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,28,0,12.29,25.0,,,0 days 02:52:14.000000000,1.0,0.4166666666666667,0.0,0.0,,0,Free_feed
2023-09-14 21:18:56,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,3,29,0,,418.0,,,0 days 02:59:12.000000000,1.0,6.966666666666667,0.0,0.0,,0,Free_feed
2023-09-14 21:19:18,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,30,0,10.89,22.0,,,0 days 02:59:34.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 21:19:38,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,31,0,7.7,20.0,,,0 days 02:59:54.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 21:20:02,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,32,0,11.74,24.0,,,0 days 03:00:18.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-14 21:31:33,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,33,0,,691.0,,,0 days 03:11:49.000000000,1.0,11.516666666666667,0.0,0.0,,0,Free_feed
2023-09-14 21:31:50,1.16.3,Free_feed,1,4.02,1.0,0,Pellet,Left,1,3,34,0,5.32,17.0,,,0 days 03:12:06.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 21:32:11,1.16.3,Free_feed,1,4.01,1.0,0,Pellet,Left,1,3,35,0,9.79,21.0,,,0 days 03:12:27.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
